0;0
1;18
2;18
3;9
4;0
5;15
6;1
7;1
8;19
9;13
10;2
11;20
12;1
13;3
14;2
15;2
16;19
17;1
18;4
19;18
20;0
21;0
22;5
23;0
24;3
25;3
26;1
27;6
28;0
29;2
30;3
31;21
32;7
33;2
34;9
35;0
36;16
37;8
38;9
39;1
40;4
41;4
42;8
43;4
44;11
45;10
46;11
47;3
48;12
49;1
50;5
51;18
52;21
53;7
54;5
55;6
56;12
57;8
58;2
59;13
60;6
61;13
62;10
63;14
64;15
65;11
66;9
67;14
68;8
69;18
70;20
71;4
72;21
73;7
74;7
75;10
76;19
77;11
78;12
79;24
80;12
81;16
82;6
83;22
84;13
85;5
86;3
87;25
88;14
89;2
90;15
91;1
92;8
93;6
94;0
95;23
96;26
97;28
98;14
99;10
100;13
101;16
102;31
103;27
104;24
