Flight Type;Fl No.;Origin;ETA;Reg. No.;Fl No.;Dest;ETD;AC Type;Class;Pax;Gate;Bay
Full;KQ657;KIS;15.42;KYP;KQ670;KIS;17.50;E90;C;96;1;18
Arr;PW725;JRO;19.33;PWG;;ZNZ;20.73;AT7;A;72;1;3A
Full;KQ8651;KIS;8.50;QUE;KQ8690;UKU;9.17;AT7;A;72;1;3A
Full;BA065;LHR;20.50;;BA064;LHR;23.25;772;G;302;2;11
Full;KQ251;SEZ;18.42;FFA;KQ330;JED;21.50;E90;C;96;3;6
Full;LX294;ZRH;18.67;;LX295;DAR;19.58;330;F;268;6;18
Arr;KQ671;KIS;19.83;KYD;;DAR;21.23;738;D;162;4;19
Arr;CZ633;CAN;7.00;;;CAN;8.40;330;F;268;2;11
Park;;EDL;20.67;QHW;;EDL;24.00;AT7;A;0.0;5;J2A
Full;MS849;CAI;7.17;;MS850;CAI;8.17;320;D;150;3;13
Arr;KQ752;BLZ;19.75;KQG;;EBB;21.15;737;D;126;7;13
Full;WB460;KGL;20.25;9XRWH;WB460;EBB;21.58;CRJ;A;90;6;3B
Full;MK534;MRU;11.83;;MK535;MRU;13.08;332;F;233;1;18
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385;11;10
Full;KQ609;MBA;16.92;FFH;KQ616;MBA;18.83;E90;C;96;2;13
Full;;;6.83;;KQ210;BOM;7.83;788;F;234;1;J1
Full;KQ8691;UKU;11.50;QUE;KQ8692;UKU;14.17;AT7;A;72;4;2A
Park;;TNR;21.75;FFC;;ABV;24.00;E90;C;0.0;1;J3B
Full;KQ542;LOS;21.00;CYD;;;23.98;738;D;162;8;15
Full;PW715;ZNZ;21.25;PWG;;;23.98;AT7;A;72;12;3A
Full;KQ487;DAR;22.25;KYS;;;23.98;E90;C;96;3;6
Full;ET302;ADD;10.33;AOB;ET303;ADD;11.58;738;D;162;7;14
Park;;DAR;20.83;KYS;;BJM;24.00;E90;C;0.0;9;H3
Dep;;MBA;8.17;KQB;KQ8602;MBA;9.67;737;D;126;4;15
Full;KQ603;MBA;11.17;CYC;KQ762;JNB;12.08;738;D;162;2;20
Full;KQ509;ACC;6.17;CYA;KQ760;JNB;8.50;738;D;162;5;14
Full;KQ651;KIS;9.17;KYP;KQ654;KIS;9.92;E90;C;96;2;16
Full;KQ671;KIS;19.83;KYP;;;23.98;E90;C;96;10;4L
Dep;;MBA;5.33;FFK;KQ600;MBA;6.83;E90;C;96;4;18
Full;QR1337;DOH;9.50;;QR1338;DOH;12.58;320;D;150;3;7
Full;KQ657;KIS;15.42;KYP;KQ670;KIS;17.50;E90;C;96;3;15
Arr;PW725;JRO;19.33;PWG;;ZNZ;20.73;AT7;A;72;12;J4A
Full;KQ485;DAR;19.33;FFG;KQ734;LUN;22.75;E90;C;96;13;5
Arr;ET308;ADD;23.67;ALM;;ADD;24.00;737;D;126;4;19
Dep;;CAN;12.08;;CZ634;CAN;13.58;330;F;268;5;17
Full;KQ351;JUB;12.17;FFH;KQ608;MBA;14.25;E90;C;96;8;11
Full;KQ763;JNB;21.42;CYC;KQ304;DXB;22.50;738;D;162;21;12
Park;;ABV;19.92;FFC;;;22.38;E90;C;0.0;14;H2
Full;TK607;IST;7.42;;TK608;IST;10.58;330;F;268;6;18
Arr;KQ413;EBB;15.08;KQG;;;16.48;737;D;126;4;16
Full;KQ205;BOM;10.50;CYB;KQ704;LUN;12.08;738;D;162;9;12
Full;KQ611;MBA;19.08;FFE;KQ618;MBA;19.83;E90;C;96;15;15
Dep;;BJM;5.33;KYP;KQ650;KIS;6.83;E90;C;96;6;15
Full;MS849;CAI;7.17;;MS850;CAI;8.17;320;D;150;7;20
Arr;KQ8609;MBA;22.25;KQB;;MBA;23.65;737;D;126;6;8
Full;KQ257;TNR;20.25;FFB;KQ708;HRE;23.00;E90;C;96;16;J5
Arr;KQ752;BLZ;19.75;KQG;;EBB;21.15;737;D;126;17;20
Arr;KQ448;BJM;12.83;KYS;;DAR;14.23;E90;C;96;11;16
Full;BA065;LHR;20.50;;BA064;LHR;23.25;772;G;302;15;18
Dep;;LHR;17.75;KZC;KQ310;DXB;19.25;788;F;234;4;11
Full;KQ720;HRE;6.83;KYR;KQ604;MBA;10.25;E90;C;96;8;3B
Full;WB450;EBB;10.67;9XRWI;WB450;KGL;11.42;CRJ;A;90;5;2C
Full;WB450;EBB;10.67;9XRWI;WB450;KGL;11.42;CRJ;A;90;10;3C
Park;;JNB;0.17;;;JNB;6.90;320;D;0.0;12;J9
Full;KQ351;JUB;12.17;FFH;KQ608;MBA;14.25;E90;C;96;12;15
Dep;;LUN;10.00;FFA;KQ250;SEZ;11.50;E90;C;96;11;17
Full;EK719;DXB;14.50;;EK720;DUB;16.67;773;G;385;5;17
Dep;;FBM;10.00;KQH;KQ252;HAH;11.50;737;D;126;14;19
Full;KQ731;LLW;13.50;FFG;KQ484;DAR;15.92;E90;C;96;2;13
Arr;KQ752;BLZ;19.75;KQG;;EBB;21.15;737;D;126;18;8
Full;KQ765;JNB;6.92;CYC;KQ602;MBA;8.50;738;D;162;9;16
Arr;KQ619;MBA;22.67;FFH;;JUB;24.00;E90;C;96;7;3B
Arr;KQ887;BKK;6.75;KZE;;BKK;8.15;788;F;234;10;5
Dep;;ABV;22.48;FFC;;;23.98;E90;C;96;17;7
Full;SN463;BRU;21.75;;SN463;BRU;22.75;332;F;233;4;19
Arr;KQ887;BKK;6.75;KZE;;BKK;8.15;788;F;234;11;4L
Dep;;LHR;17.75;KZC;KQ310;DXB;19.25;788;F;234;5;17
Arr;KQ533;LOS;19.83;CYD;;COO;21.23;738;D;162;19;16
Park;;MBA;23.00;FFK;;MBA;24.00;E90;C;0.0;14;J4A
Full;KQ8681;MYD;13.50;QHW;KQ8654;KIS;18.00;AT7;A;72;6;3A
Full;WB450;EBB;10.67;9XRWI;WB450;KGL;11.42;CRJ;A;90;16;3A
Full;QR1339;DOH;13.17;;QR1340;DOH;17.58;320;D;150;7;12
Park;;BJM;22.75;KYP;;KIS;24.00;E90;C;0.0;18;H1
Full;KQ351;JUB;12.17;FFH;KQ608;MBA;14.25;E90;C;96;14;3C
Park;;KGL;7.58;KYT;;APL;10.82;E90;C;0.0;12;J7
Full;ET302;ADD;10.33;AOB;ET303;ADD;11.58;738;D;162;17;11
Full;PW727;JRO;16.00;PWB;PW726;JRO;16.83;AT7;A;72;8;3C
Full;KQ411;EBB;11.08;KQG;KQ412;EBB;12.00;737;D;126;19;6
Full;KQ603;MBA;11.17;CYC;KQ762;JNB;12.08;738;D;162;6;13
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385;20;9
Full;TK607;IST;7.42;;TK608;IST;10.58;330;F;268;13;10
Arr;KQ485;DAR;19.33;KYS;;BJM;20.73;E90;C;96;21;12
Full;KQ605;MBA;12.92;KYR;KQ352;JUB;13.67;E90;C;96;9;20
Full;KQ251;SEZ;18.42;FFA;KQ330;JED;21.50;E90;C;96;22;7
Dep;;LUN;10.00;FFA;KQ250;SEZ;11.50;E90;C;96;20;8
Dep;;BJM;17.33;KYS;KQ486;DAR;18.83;E90;C;96;9;16
Full;KQ651;KIS;9.17;KYP;KQ654;KIS;9.92;E90;C;96;5;20
Dep;;EBB;22.48;KQG;;;23.98;737;D;126;19;13
Arr;KQ311;DXB;6.92;KZB;;FIH;8.32;788;F;234;14;6
Full;SN463;BRU;21.75;;SN463;BRU;22.75;332;F;233;1;17
Full;TK607;IST;7.42;;TK608;IST;10.58;330;F;268;15;9
Dep;;ADD;4.50;ALM;ET309;ADD;6.00;737;D;126;1;20
Full;KQ351;JUB;12.17;FFH;KQ608;MBA;14.25;E90;C;96;15;8
Park;;BJM;14.33;KYS;;DAR;17.23;E90;C;0.0;10;H6
Park;;ADD;1.25;;;ADD;4.40;738;D;0.0;4;H2
Park;;EDL;20.67;QHW;;EDL;24.00;AT7;A;0.0;2;J1
Park;;LUN;22.00;FFA;;SEZ;24.00;E90;C;0.0;7;J2B
Park;;LOS;21.33;CYD;;COO;24.00;738;D;0.0;12;J7
Full;KQ495;ZNZ;11.25;KYQ;KQ482;DAR;12.08;E90;C;96;13;3B
Park;;JRO;12.25;FFF;;BJM;14.57;E90;C;0.0;16;J8
Park;;JRO;12.25;FFF;;BJM;14.57;E90;C;0.0;17;J7
Full;KQ117;AMS;6.17;KZY;KQ116;AMS;8.58;773;G;385;16;19
Arr;KQ887;BKK;6.75;KZE;;BKK;8.15;788;F;234;17;8
Park;;BLZ;21.25;KQG;;EBB;24.00;737;D;0.0;15;J9
Full;;;6.83;;KQ210;BOM;7.83;788;F;234;2;J5
Full;KQ403;ADD;17.50;FFJ;KQ416;EBB;19.17;E90;C;96;8;20
Arr;SA180;JNB;22.67;;;JNB;24.00;320;D;150;22;16
Park;;KGL;7.58;KYT;;APL;10.82;E90;C;0.0;18;J9
Full;EK719;DXB;14.50;;EK720;DUB;16.67;773;G;385;9;19
Dep;;LHR;17.75;KZC;KQ310;DXB;19.25;788;F;234;10;19
Full;ET302;ADD;10.33;AOB;ET303;ADD;11.58;738;D;162;21;15
Full;MK534;MRU;11.83;;MK535;MRU;13.08;332;F;233;18;9
Full;KQ485;DAR;19.33;FFG;KQ734;LUN;22.75;E90;C;96;11;2B
Arr;KQ252;HAH;18.42;KQH;;;19.82;737;D;126;2;14
Full;KQ8655;KIS;20.00;QHW;;;23.98;AT7;A;72;5;J6
Dep;;CAN;12.08;;CZ634;CAN;13.58;330;F;268;10;19
Full;KQ349;KRT;6.58;FFJ;KQ402;JIB;8.25;E90;C;96;19;2C
Full;KQ607;MBA;15.58;FFE;KQ610;MBA;16.42;E90;C;96;11;11
Park;;DAR;20.83;KYS;;BJM;24.00;E90;C;0.0;8;H4
Arr;KQ887;BKK;6.75;KZE;;BKK;8.15;788;F;234;20;7
Dep;;TNR;6.42;FFC;KQ536;ABV;7.92;E90;C;96;5;12
Dep;;KGL;10.92;KYT;KQ748;APL;12.42;E90;C;96;1;4L
Arr;KQ671;KIS;19.83;KYD;;DAR;21.23;738;D;162;1;17
Park;;ADD;1.17;ALM;;ADD;4.40;737;D;0.0;5;8
Full;KQ205;BOM;10.50;CYB;KQ704;LUN;12.08;738;D;162;2;16
Park;;ADD;1.17;ALM;;ADD;4.40;737;D;0.0;6;J1
Arr;PW725;JRO;19.33;PWG;;ZNZ;20.73;AT7;A;72;3;3C
Park;;LOS;21.33;CYD;;COO;24.00;738;D;0.0;16;H5
Full;KQ117;AMS;6.17;KZY;KQ116;AMS;8.58;773;G;385;21;17
Park;;MBA;0.17;FFH;;JUB;6.23;E90;C;0.0;2;10
Arr;KQ8665;EDL;19.17;QHW;;EDL;20.57;AT7;A;72;7;2A
Park;;TNR;21.75;FFC;;ABV;24.00;E90;C;0.0;17;J3A
Park;;DAR;20.83;KYS;;BJM;24.00;E90;C;0.0;9;J8
Park;;KIS;21.50;QUE;;KIS;24.00;AT7;A;0.0;20;2A
Arr;KQ617;MBA;21.50;FFK;;MBA;22.90;E90;C;96;21;3C
Full;KQ657;KIS;15.42;KYP;KQ670;KIS;17.50;E90;C;96;12;14
Full;KQ542;LOS;21.00;CYD;;;23.98;738;D;162;10;14
Dep;;ADD;4.50;ALM;ET309;ADD;6.00;737;D;126;3;16
Full;KQ349;KRT;6.58;FFJ;KQ402;JIB;8.25;E90;C;96;22;3C
Full;KQ8681;MYD;13.50;QHW;KQ8654;KIS;18.00;AT7;A;72;13;3B
Park;;JRO;12.25;FFF;;BJM;14.57;E90;C;0.0;20;J9
Full;KQ522;NSI;21.67;KYF;;;23.98;738;D;162;18;20
