Flight Type;Fl No.;Origin;ETA;Reg. No.;Fl No.;Dest;ETD;AC Type;Class;Pax
Full;KQ657;KIS;15.42;KYP;KQ670;KIS;17.50;E90;C;96
Arr;PW725;JRO;19.33;PWG;;ZNZ;20.73;AT7;A;72
Full;KQ8651;KIS;8.50;QUE;KQ8690;UKU;9.17;AT7;A;72
Full;BA065;LHR;20.50;;BA064;LHR;23.25;772;G;302
Full;KQ251;SEZ;18.42;FFA;KQ330;JED;21.50;E90;C;96
Full;LX294;ZRH;18.67;;LX295;DAR;19.58;330;F;268
Arr;KQ671;KIS;19.83;KYD;;DAR;21.23;738;D;162
Arr;CZ633;CAN;7.00;;;CAN;8.40;330;F;268
Park;;EDL;20.67;QHW;;EDL;24.00;AT7;A;0.0
Full;MS849;CAI;7.17;;MS850;CAI;8.17;320;D;150
Arr;KQ752;BLZ;19.75;KQG;;EBB;21.15;737;D;126
Full;WB460;KGL;20.25;9XRWH;WB460;EBB;21.58;CRJ;A;90
Full;MK534;MRU;11.83;;MK535;MRU;13.08;332;F;233
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385
Full;KQ609;MBA;16.92;FFH;KQ616;MBA;18.83;E90;C;96
Full;;;6.83;;KQ210;BOM;7.83;788;F;234
Full;KQ8691;UKU;11.50;QUE;KQ8692;UKU;14.17;AT7;A;72
Park;;TNR;21.75;FFC;;ABV;24.00;E90;C;0.0
Full;KQ542;LOS;21.00;CYD;;;23.98;738;D;162
Full;PW715;ZNZ;21.25;PWG;;;23.98;AT7;A;72
Full;KQ487;DAR;22.25;KYS;;;23.98;E90;C;96
Full;ET302;ADD;10.33;AOB;ET303;ADD;11.58;738;D;162
Park;;DAR;20.83;KYS;;BJM;24.00;E90;C;0.0
Dep;;MBA;8.17;KQB;KQ8602;MBA;9.67;737;D;126
Full;KQ603;MBA;11.17;CYC;KQ762;JNB;12.08;738;D;162
Full;KQ509;ACC;6.17;CYA;KQ760;JNB;8.50;738;D;162
Full;KQ651;KIS;9.17;KYP;KQ654;KIS;9.92;E90;C;96
Full;KQ671;KIS;19.83;KYP;;;23.98;E90;C;96
Dep;;MBA;5.33;FFK;KQ600;MBA;6.83;E90;C;96
Full;QR1337;DOH;9.50;;QR1338;DOH;12.58;320;D;150
Full;KQ657;KIS;15.42;KYP;KQ670;KIS;17.50;E90;C;96
Arr;PW725;JRO;19.33;PWG;;ZNZ;20.73;AT7;A;72
Full;KQ485;DAR;19.33;FFG;KQ734;LUN;22.75;E90;C;96
Arr;ET308;ADD;23.67;ALM;;ADD;24.00;737;D;126
Dep;;CAN;12.08;;CZ634;CAN;13.58;330;F;268
Full;KQ351;JUB;12.17;FFH;KQ608;MBA;14.25;E90;C;96
Full;KQ763;JNB;21.42;CYC;KQ304;DXB;22.50;738;D;162
Park;;ABV;19.92;FFC;;;22.38;E90;C;0.0
Full;TK607;IST;7.42;;TK608;IST;10.58;330;F;268
Arr;KQ413;EBB;15.08;KQG;;;16.48;737;D;126
Full;KQ205;BOM;10.50;CYB;KQ704;LUN;12.08;738;D;162
Full;KQ611;MBA;19.08;FFE;KQ618;MBA;19.83;E90;C;96
Dep;;BJM;5.33;KYP;KQ650;KIS;6.83;E90;C;96
Full;MS849;CAI;7.17;;MS850;CAI;8.17;320;D;150
Arr;KQ8609;MBA;22.25;KQB;;MBA;23.65;737;D;126
Full;KQ257;TNR;20.25;FFB;KQ708;HRE;23.00;E90;C;96
Arr;KQ752;BLZ;19.75;KQG;;EBB;21.15;737;D;126
Arr;KQ448;BJM;12.83;KYS;;DAR;14.23;E90;C;96
Full;BA065;LHR;20.50;;BA064;LHR;23.25;772;G;302
Dep;;LHR;17.75;KZC;KQ310;DXB;19.25;788;F;234
Full;KQ720;HRE;6.83;KYR;KQ604;MBA;10.25;E90;C;96
Full;WB450;EBB;10.67;9XRWI;WB450;KGL;11.42;CRJ;A;90
Full;WB450;EBB;10.67;9XRWI;WB450;KGL;11.42;CRJ;A;90
Park;;JNB;0.17;;;JNB;6.90;320;D;0.0
Full;KQ351;JUB;12.17;FFH;KQ608;MBA;14.25;E90;C;96
Dep;;LUN;10.00;FFA;KQ250;SEZ;11.50;E90;C;96
Full;EK719;DXB;14.50;;EK720;DUB;16.67;773;G;385
Dep;;FBM;10.00;KQH;KQ252;HAH;11.50;737;D;126
Full;KQ731;LLW;13.50;FFG;KQ484;DAR;15.92;E90;C;96
Arr;KQ752;BLZ;19.75;KQG;;EBB;21.15;737;D;126
Full;KQ765;JNB;6.92;CYC;KQ602;MBA;8.50;738;D;162
Arr;KQ619;MBA;22.67;FFH;;JUB;24.00;E90;C;96
Arr;KQ887;BKK;6.75;KZE;;BKK;8.15;788;F;234
Dep;;ABV;22.48;FFC;;;23.98;E90;C;96
Full;SN463;BRU;21.75;;SN463;BRU;22.75;332;F;233
Arr;KQ887;BKK;6.75;KZE;;BKK;8.15;788;F;234
Dep;;LHR;17.75;KZC;KQ310;DXB;19.25;788;F;234
Arr;KQ533;LOS;19.83;CYD;;COO;21.23;738;D;162
Park;;MBA;23.00;FFK;;MBA;24.00;E90;C;0.0
Full;KQ8681;MYD;13.50;QHW;KQ8654;KIS;18.00;AT7;A;72
Full;WB450;EBB;10.67;9XRWI;WB450;KGL;11.42;CRJ;A;90
Full;QR1339;DOH;13.17;;QR1340;DOH;17.58;320;D;150
Park;;BJM;22.75;KYP;;KIS;24.00;E90;C;0.0
Full;KQ351;JUB;12.17;FFH;KQ608;MBA;14.25;E90;C;96
Park;;KGL;7.58;KYT;;APL;10.82;E90;C;0.0
Full;ET302;ADD;10.33;AOB;ET303;ADD;11.58;738;D;162
Full;PW727;JRO;16.00;PWB;PW726;JRO;16.83;AT7;A;72
Full;KQ411;EBB;11.08;KQG;KQ412;EBB;12.00;737;D;126
Full;KQ603;MBA;11.17;CYC;KQ762;JNB;12.08;738;D;162
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385
Full;TK607;IST;7.42;;TK608;IST;10.58;330;F;268
Arr;KQ485;DAR;19.33;KYS;;BJM;20.73;E90;C;96
Full;KQ605;MBA;12.92;KYR;KQ352;JUB;13.67;E90;C;96
Full;KQ251;SEZ;18.42;FFA;KQ330;JED;21.50;E90;C;96
Dep;;LUN;10.00;FFA;KQ250;SEZ;11.50;E90;C;96
Dep;;BJM;17.33;KYS;KQ486;DAR;18.83;E90;C;96
Full;KQ651;KIS;9.17;KYP;KQ654;KIS;9.92;E90;C;96
Dep;;EBB;22.48;KQG;;;23.98;737;D;126
Arr;KQ311;DXB;6.92;KZB;;FIH;8.32;788;F;234
Full;SN463;BRU;21.75;;SN463;BRU;22.75;332;F;233
Full;TK607;IST;7.42;;TK608;IST;10.58;330;F;268
Dep;;ADD;4.50;ALM;ET309;ADD;6.00;737;D;126
Full;KQ351;JUB;12.17;FFH;KQ608;MBA;14.25;E90;C;96
Park;;BJM;14.33;KYS;;DAR;17.23;E90;C;0.0
Park;;ADD;1.25;;;ADD;4.40;738;D;0.0
Park;;EDL;20.67;QHW;;EDL;24.00;AT7;A;0.0
Park;;LUN;22.00;FFA;;SEZ;24.00;E90;C;0.0
Park;;LOS;21.33;CYD;;COO;24.00;738;D;0.0
Full;KQ495;ZNZ;11.25;KYQ;KQ482;DAR;12.08;E90;C;96
Park;;JRO;12.25;FFF;;BJM;14.57;E90;C;0.0
Park;;JRO;12.25;FFF;;BJM;14.57;E90;C;0.0
Full;KQ117;AMS;6.17;KZY;KQ116;AMS;8.58;773;G;385
Arr;KQ887;BKK;6.75;KZE;;BKK;8.15;788;F;234
Park;;BLZ;21.25;KQG;;EBB;24.00;737;D;0.0
Full;;;6.83;;KQ210;BOM;7.83;788;F;234
Full;KQ403;ADD;17.50;FFJ;KQ416;EBB;19.17;E90;C;96
Arr;SA180;JNB;22.67;;;JNB;24.00;320;D;150
Park;;KGL;7.58;KYT;;APL;10.82;E90;C;0.0
Full;EK719;DXB;14.50;;EK720;DUB;16.67;773;G;385
Dep;;LHR;17.75;KZC;KQ310;DXB;19.25;788;F;234
Full;ET302;ADD;10.33;AOB;ET303;ADD;11.58;738;D;162
Full;MK534;MRU;11.83;;MK535;MRU;13.08;332;F;233
Full;KQ485;DAR;19.33;FFG;KQ734;LUN;22.75;E90;C;96
Arr;KQ252;HAH;18.42;KQH;;;19.82;737;D;126
Full;KQ8655;KIS;20.00;QHW;;;23.98;AT7;A;72
Dep;;CAN;12.08;;CZ634;CAN;13.58;330;F;268
Full;KQ349;KRT;6.58;FFJ;KQ402;JIB;8.25;E90;C;96
Full;KQ607;MBA;15.58;FFE;KQ610;MBA;16.42;E90;C;96
Park;;DAR;20.83;KYS;;BJM;24.00;E90;C;0.0
Arr;KQ887;BKK;6.75;KZE;;BKK;8.15;788;F;234
Dep;;TNR;6.42;FFC;KQ536;ABV;7.92;E90;C;96
Dep;;KGL;10.92;KYT;KQ748;APL;12.42;E90;C;96
Arr;KQ671;KIS;19.83;KYD;;DAR;21.23;738;D;162
Park;;ADD;1.17;ALM;;ADD;4.40;737;D;0.0
Full;KQ205;BOM;10.50;CYB;KQ704;LUN;12.08;738;D;162
Park;;ADD;1.17;ALM;;ADD;4.40;737;D;0.0
Arr;PW725;JRO;19.33;PWG;;ZNZ;20.73;AT7;A;72
Park;;LOS;21.33;CYD;;COO;24.00;738;D;0.0
Full;KQ117;AMS;6.17;KZY;KQ116;AMS;8.58;773;G;385
Park;;MBA;0.17;FFH;;JUB;6.23;E90;C;0.0
Arr;KQ8665;EDL;19.17;QHW;;EDL;20.57;AT7;A;72
Park;;TNR;21.75;FFC;;ABV;24.00;E90;C;0.0
Park;;DAR;20.83;KYS;;BJM;24.00;E90;C;0.0
Park;;KIS;21.50;QUE;;KIS;24.00;AT7;A;0.0
Arr;KQ617;MBA;21.50;FFK;;MBA;22.90;E90;C;96
Full;KQ657;KIS;15.42;KYP;KQ670;KIS;17.50;E90;C;96
Full;KQ542;LOS;21.00;CYD;;;23.98;738;D;162
Dep;;ADD;4.50;ALM;ET309;ADD;6.00;737;D;126
Full;KQ349;KRT;6.58;FFJ;KQ402;JIB;8.25;E90;C;96
Full;KQ8681;MYD;13.50;QHW;KQ8654;KIS;18.00;AT7;A;72
Park;;JRO;12.25;FFF;;BJM;14.57;E90;C;0.0
Full;KQ522;NSI;21.67;KYF;;;23.98;738;D;162
Full;KQ607;MBA;15.58;FFE;KQ610;MBA;16.42;E90;C;96
Full;KQ411;EBB;11.08;KQG;KQ412;EBB;12.00;737;D;126
Full;KQ8603;MBA;12.42;KQB;KQ8606;MBA;14.00;73J;E;126
Park;;CAN;8.50;;;CAN;11.98;330;F;0.0
Park;;TNR;21.75;FFC;;ABV;24.00;E90;C;0.0
Arr;PW725;JRO;19.33;PWG;;ZNZ;20.73;AT7;A;72
Full;MK534;MRU;11.83;;MK535;MRU;13.08;332;F;233
Full;KQ485;DAR;19.33;FFG;KQ734;LUN;22.75;E90;C;96
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385
Full;QR1339;DOH;13.17;;QR1340;DOH;17.58;320;D;150
Park;;BKK;8.25;KZE;;BKK;21.57;788;F;0.0
Full;KQ720;HRE;6.83;KYR;KQ604;MBA;10.25;E90;C;96
Full;KQ349;KRT;6.58;FFJ;KQ402;JIB;8.25;E90;C;96
Full;KQ586;NLA;20.08;KYD;;;23.98;738;D;162
Dep;;EBB;22.48;KQG;;;23.98;737;D;126
Park;;DAR;20.83;KYS;;BJM;24.00;E90;C;0.0
Arr;KQ617;MBA;21.50;FFK;;MBA;22.90;E90;C;96
