0;7
1;1
2;0
3;0
4;11
5;35
6;3
7;33
8;1
9;0
10;19
11;3
12;9
13;32
14;9
15;19
16;8
17;16
18;27
19;2
20;34
21;1
22;34
23;23
24;5
25;22
26;7
27;20
28;1
29;3
30;2
31;7
32;4
33;3
34;11
35;41
36;4
37;14
38;24
39;18
40;7
41;3
42;9
43;7
44;13
45;5
46;4
47;0
48;8
49;14
50;11
51;5
52;12
53;4
54;38
55;22
56;17
57;20
58;2
59;28
60;6
61;0
62;29
63;5
64;6
65;20
66;36
67;13
68;2
69;8
70;6
71;39
72;35
73;1
74;21
75;31
76;6
77;30
78;4
79;18
80;8
81;20
82;10
83;11
84;4
85;3
86;2
87;4
88;1
89;30
90;10
91;15
92;5
93;6
94;9
95;4
96;25
97;40
98;10
99;8
100;33
101;0
