0;1
1;10
2;1
3;8
4;1
5;2
6;4
7;2
8;1
9;3
10;4
11;1
12;2
13;6
14;7
15;2
16;3
17;5
18;7
19;2
20;3
21;4
22;11
23;12
24;6
25;13
26;14
27;3
28;5
29;7
30;15
31;2
32;8
33;4
34;3
35;17
36;4
37;18
38;20
39;16
40;5
41;19
42;6
43;6
44;21
45;22
46;9
47;8
48;1
49;7
50;10
51;6
52;2
53;17
54;7
55;5
56;3
57;9
58;18
59;8
60;5
61;5
62;9
63;13
64;1
65;10
66;6
67;12
68;13
69;14
70;12
71;11
72;12
73;5
74;8
75;4
76;15
77;9
78;10
79;13
80;9
81;16
82;16
83;7
84;13
85;14
86;14
87;12
88;15
89;3
90;10
91;14
92;4
93;14
94;15
95;15
96;16
97;20
98;23
99;17
100;19
101;18
